2019-04-02 13:33:18 status unpacked python-gencpp:all 0.5.5-2
2019-04-02 13:33:19 install python-genlisp:all <none> 0.4.16-1
2019-04-02 13:33:19 status half-installed python-genlisp:all 0.4.16-1
2019-04-02 13:33:19 status unpacked python-genlisp:all 0.4.16-1
2019-04-02 13:33:20 status unpacked python-genlisp:all 0.4.16-1
2019-04-02 13:33:20 install python-empy:all <none> 3.3.2-1build1
2019-04-02 13:33:20 status half-installed python-empy:all 3.3.2-1build1
2019-04-02 13:33:20 status unpacked python-empy:all 3.3.2-1build1
2019-04-02 13:33:21 status unpacked python-empy:all 3.3.2-1build1
2019-04-02 13:33:21 install python-genmsg:all <none> 0.5.9-1
2019-04-02 13:33:21 status half-installed python-genmsg:all 0.5.9-1
2019-04-02 13:33:22 status unpacked python-genmsg:all 0.5.9-1
2019-04-02 13:33:22 status unpacked python-genmsg:all 0.5.9-1
2019-04-02 13:33:23 install python-yaml:amd64 <none> 3.12-1build2
2019-04-02 13:33:23 status half-installed python-yaml:amd64 3.12-1build2
2019-04-02 13:33:23 status unpacked python-yaml:amd64 3.12-1build2
2019-04-02 13:33:23 status unpacked python-yaml:amd64 3.12-1build2
2019-04-02 13:33:24 install python-genpy:all <none> 0.6.7-1
2019-04-02 13:33:24 status half-installed python-genpy:all 0.6.7-1
2019-04-02 13:33:25 status unpacked python-genpy:all 0.6.7-1
2019-04-02 13:33:25 status unpacked python-genpy:all 0.6.7-1
2019-04-02 13:33:25 install ros-message-generation:all <none> 0.4.0-1
2019-04-02 13:33:25 status half-installed ros-message-generation:all 0.4.0-1
2019-04-02 13:33:25 status unpacked ros-message-generation:all 0.4.0-1
2019-04-02 13:33:26 status unpacked ros-message-generation:all 0.4.0-1
2019-04-02 13:33:26 install libconsole-bridge0.4:amd64 <none> 0.4.0+dfsg-2
2019-04-02 13:33:26 status half-installed libconsole-bridge0.4:amd64 0.4.0+dfsg-2
2019-04-02 13:33:27 status unpacked libconsole-bridge0.4:amd64 0.4.0+dfsg-2
2019-04-02 13:33:27 status unpacked libconsole-bridge0.4:amd64 0.4.0+dfsg-2
2019-04-02 13:33:27 install libcpp-common0d:amd64 <none> 0.6.7-1build1
2019-04-02 13:33:27 status half-installed libcpp-common0d:amd64 0.6.7-1build1
2019-04-02 13:33:28 status unpacked libcpp-common0d:amd64 0.6.7-1build1
2019-04-02 13:33:28 status unpacked libcpp-common0d:amd64 0.6.7-1build1
2019-04-02 13:33:29 install libroscpp-serialization0d:amd64 <none> 0.6.7-1build1
2019-04-02 13:33:29 status half-installed libroscpp-serialization0d:amd64 0.6.7-1build1
2019-04-02 13:33:30 status unpacked libroscpp-serialization0d:amd64 0.6.7-1build1
2019-04-02 13:33:30 status unpacked libroscpp-serialization0d:amd64 0.6.7-1build1
2019-04-02 13:33:30 install librostime0d:amd64 <none> 0.6.7-1build1
2019-04-02 13:33:30 status half-installed librostime0d:amd64 0.6.7-1build1
2019-04-02 13:33:30 status unpacked librostime0d:amd64 0.6.7-1build1
2019-04-02 13:33:30 status unpacked librostime0d:amd64 0.6.7-1build1
2019-04-02 13:33:31 install libboost1.65-dev:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:33:31 status half-installed libboost1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:00 status unpacked libboost1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:00 status unpacked libboost1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:00 install libboost-system1.65-dev:amd64 <none> 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:00 status half-installed libboost-system1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:01 status unpacked libboost-system1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:01 status unpacked libboost-system1.65-dev:amd64 1.65.1+dfsg-0ubuntu5
2019-04-02 13:34:01 install libboost-system-dev:amd64 <none> 1.65.1.0ubuntu1
2019-04-02 13:34:01 status half-installed libboost-system-dev:amd64 1.65.1.0ubuntu1
2019-04-02 13:34:01 status unpacked libboost-system-dev:amd64 1.65.1.0ubuntu1
